index,domain,architecture,fault_rate,success_rate,deadlock_rate,mean_recovery_latency,mean_traceability_time,mean_traceability_steps,invalid_propagation_rate,n
0,sar_aerial,ahtovik,0.01,0.76,0.24,2.338255033557047,0.05000000000001,1.0,0.0,300
1,sar_aerial,ahtovik,0.02,0.6866666666666666,0.31333333333333335,2.7205387205387206,0.05,1.0,0.0,300
2,sar_aerial,ahtovik,0.03,0.6673333333333333,0.3266666666666666,2.7772575250836122,0.05,1.0,0.0,300
3,sar_aerial,ahtovik,0.05,0.55,0.45,3.09115646258054,0.05,1.0,0.0,300
4,sar_aerial,ahtovik,0.08,0.29666666666666667,0.7033333333333334,3.547474747474748,0.05,1.0,0.0,300
5,sar_aerial,mapek,0.01,0.6333333333333333,0.36666666666666664,15.738,1.8425222222222222,36.85044444444444,0.5866666666666667,300
6,sar_aerial,mapek,0.02,0.57,0.43,16.468999999999998,1.8200194444444445,36.41838888888889,0.6333333333333333,300
7,sar_aerial,mapek,0.03,0.5233333333333333,0.4766666666666667,17.673,1.8134944444444447,36.26988888888889,0.6833333333333333,300
8,sar_aerial,mapek,0.05,0.34,0.66,19.092000000000002,1.8526888888888889,37.05377777777775,0.72,300
9,sar_aerial,mapek,0.08,0.19666666666666666,0.8033333333333333,20.468,1.8687222222222223,37.3754444444445,0.81,300
10,software_mas,ahtovik,0.01,0.8833333333333333,0.11666666666666667,2.4321070234113713,0.05,1.0,0.0,300
11,software_mas,ahtovik,0.02,0.84,0.16,2.8133333333333335,0.05,1.0,0.0,300
12,software_mas,ahtovik,0.03,0.8133333333333334,0.18666666666666668,2.9253333333333336,0.05,1.0,0.0,300
13,software_mas,ahtovik,0.05,0.7033333333333334,0.2966666666666667,3.2666666666666666,0.05,1.0,0.0,300
14,software_mas,ahtovik,0.08,0.4366666666666665,0.5633333333333334,3.605333333333333,0.05,1.0,0.0,300
15,software_mas,mapek,0.01,0.8266666666666667,0.17333333333333334,14.533999999999999,1.8213194444444445,36.42638888888889,0.2966666666666667,300
16,software_mas,mapek,0.02,0.8166666666666667,0.18333333333333332,14.921000000000001,1.8782250000000003,37.5645,0.28,300
17,software_mas,mapek,0.03,0.7566666666666667,0.24333333333333335,16.411666666666665,1.8675333333333333,37.35066666666667,0.35333333333333333,300
18,software_mas,mapek,0.05,0.5966666666666667,0.4033333333333333,17.544,1.874425,37.488499999999995,0.37,300
19,software_mas,mapek,0.08,0.34,0.66,19.952,1.8558861111111113,37.11772222222223,0.4733333333333333,300
